Name,Level,School,Spell_Type,Target,Casting_Time,Conc,Ritual,Duration,Range,Components,Scales_with_level,,Origin,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard,Other,Professional,Cursed,Feyblood,Web_Description
Choke,2,Conjuration,"Attack, Force",In range,Action,Yes,No,1 minute,30 ft,"V, S",Yes,,New,No,No,No,No,Banshee,"Dread,Ethereal,Wishcrafter","Crone,Dispater,Emergent Mind,Fiend,Ghost,Hesperia,Seducer",Yes,No,No,Shadowcursed,No,"You conjure a pair of ghostly hands that attempt to choke a creature in range. Make a melee spell attack against that creature. If you hit, the hands deal 2d4 points of force damage and latch on to the target's neck, choking it. Thereafter, the victim suffers an additional 2d4 force damage at the start of each of its turns. A creature can use an action to attempt to make a Strength (Athletics) check to wrest the hands from the target's neck against a DC equal to your spell save DC. If the hands are wrenched away from the target's neck like this, the spell ends.<br>&nbsp; On your turn, you can use a bonus action to cause the hands to float up to 30' and attack another target.<br>&nbsp; <b>At Higher Levels: </b>When you cast this spell using a slot of 3rd or higher level, the damage increases by 1d4 per slot level above 2nd."
Chromatic Orb,1,Evocation,Attack,1 target,Action,No,No,Instantaneous,90 ft,"V, S, M (a diamond worth at least 50 gp)",Yes,,PHB,Colors,No,No,No,No,"Draconic,Incantatrix,Fiendish,Oceanic,Relicker,Wild","Ancient Dragon,Fiend",Yes,No,No,Demonic,No,"You hurl a 4-inch-diameter sphere of energy at a creature that you can see within range. You choose acid, cold, fire, lightning, poison, or thunder for the type of orb you create, and then make a ranged spell attack against the target. If the attack hits, the creature takes 3d8 damage of the type you chose.<br>&nbsp; <b>At Higher Levels.</b> When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d8 for each slot level above 1st."
Circle of Death,6,Necromancy,"Damage, Necrotic",Radius 60 ft,Action,No,No,Instantaneous,150 ft,"V, S, M (the powder of a crushed black pearl worth at least 500 gp)",Yes,,PHB,No,Death,No,No,No,"Ashen,Autumnal,Blighted,Dread,Ethereal,Fiendish,Plaguebringer,Time thief","Abraxas,Crone,Death,Emergent Mind,Fiend,Jubilex,Keeper of Depths,Monstrosity,Shadowcat,Undying",Yes,No,No,No,No,"A sphere of negative energy ripples out in a 60-foot- radius sphere from a point within range. Each creature in that area must make a Constitution saving throw. A target takes 8d6 necrotic damage on a failed save, or half as much damage on a successful one.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 7th level or higher, the damage increases by 2d6 for each slot level above 6th"
Circle of Divine Censure,4,Abjuration,"Damage, Radiant",Radius 30 ft,Action,Yes,No,1 minute,Self,"V, S, F (holy symbol)",No,,"Book of Lost Spells,2018-01-07",No,"Balance,Life,Protection,Survival",No,Yes,No,Divine soul,No,No,Barbarian - Celestial Bloodrager,No,Chosen,No,"You radiate a holy aura in a 30-foot radius that is anathema to undead and fiends. Any undead or fiend that enters the aura or begins its turn in the aura takes 2d6 radiant damage and must make a Charisma saving throw; if the saving throw fails, the creature must move out of the aura as soon it can."
Circle of Power,5,Abjuration,"Protection, Magic",In range,Action,Yes,No,10 minutes,Self,V,Yes,,PHB,No,"Arcana,Leadership,Protection",No,"Yes,Crown,Supremacy",No,"Divine soul,Incantatrix",Ashen Wolf,No,No,Candlemaker,Chosen,No,"Divine energy radiates from you, distorting and diffusing magical energy within 30 feet of you. Until the spell ends, the sphere moves with you, centered on you. For the duration, each friendly creature in the area (including you) has advantage on saving throws against spells and other magical effects. Additionally, when an affected creature succeeds on a saving throw made against a spell or magical effect that allows it to make a saving throw to take only half damage, it instead takes no damage if it succeeds on the saving throw."
Circle of Privacy,1,Illusion,Guarding,Area of Effect,Action,No,Yes,8 hours,Self,"V, S, M (hair from a skunk, a mouse’s whisker, and enough salt to trace the circle to protect)",No,,New,"Doors,Mirrors","Hunting,Protection,Survival",Yes,No,Yes,No,No,Yes,No,Diplomat,_Ritual_,No,"This spell allows you to discourage predators and trespassers from disturbing a campsite. You spring salt in a circle around your camp while you cast this spell. For the duration, lights, sounds and scents generated within the circle are muted. All Perception checks made to find you or your food are at disadvantage."
Clairvoyance,3,Divination,"Investigate, Area",In range,10 minutes,Yes,No,10 minutes,1 mile,"V, S, M (a focus worth at least 100 gp, either a jeweled horn for hearing or a glass eye for seeing)",No,,PHB,"Lore,Pathfinder chronicler","Knowledge,Trickery",No,Balance,No,Yes,"Emergent Mind,Ghost,Hive,Keeper of Depths,Weaver of Lies",Yes,No,"Archaeologist,Diplomat",Yes,Sylph,"You create an invisible sensor within range in a location familiar to you (a place you have visited or seen before) or in an obvious location that is unfamiliar to you (such as behind a door, around a corner, or in a grove of trees). The sensor remains in place for the duration, and it can’t be attacked or otherwise interacted with.<br>&nbsp; When you cast the spell, you choose seeing or hearing. You can use the chosen sense through the sensor as if you were in its space. As your action, you can switch between seeing and hearing.<br>&nbsp; A creature that can see the sensor (such as a creature benefiting from see invisibility or truesight) sees a luminous, intangible orb about the size of your fist."
Clarion Call,3,Abjuration,"Healing, Condition",In range,Action,No,No,Instantaneous,60 ft,"V, F (a horn of great quality, worth at least 50 gp)",No,,"New,2016-05-23",Yes,"Leadership,Strength,Survival",No,Festivity,No,"Divine soul,Wild,Wishcrafter",Keeper of Depths,No,No,No,No,No,"You sound the horn or clarion, waking sleepers and clearing thoughts of outside influence. Choose any number of creatures within range, and end one of the following effects or conditions on them: charmed, frightened, confusion, and the enthrall spell. Additionally, all sleeping creatures in range are awakened. This spell cannot affect deafened creatures."
Claws of the Beast,1,Transmutation,"Attack, Unarmed",Self,Action,No,No,1 minute,Self,"V, S",No,,"Book of Lost Spells,2018-01-07",No,No,Yes,No,Moonstalker,"Arachnid,Draconic","Ancient Dragon,Ashen Wolf,Dagon,Fiend,Monstrosity,Shadowcat",No,No,No,"Lycanthropic,Sealed dragon",No,"Your hands transform into wicked claws, so that your unarmed strikes do 2d6 slashing damage. You are proficient with your unarmed strikes. "
Clear Mind,1,Abjuration,"Healing, Condition",One creature,Action,No,No,Instantaneous,30 ft,"V, S",Yes,,"New,2018-10-19",Yes,"Yes,Charm",No,Festivity,Yes,"Pandemonic,Wishcrafter","Abraxas,Cosmic Machine,Eternal Citadel,Great Old One,Keeper of Depths",Yes,No,"Diplomat,Psychologist",Yes,Yes,"You can target one intelligent creature within range and cause their mind to be instantly cleared of a number of various mind-altering effects. These include the effects of a sleep spell, being dazed, stunned or unconscious, or even alcohol intoxication. Additionally, the spell heals 1 hit point of damage. The spell will also grant the victim an additional saving throw against charm effects at the start of their next turn.<p><b>Empowered casting:</b><br>When you cast this spell using a spell slot of 2nd level or higher, the spell can effect 1 additional target for each slot level above 1st."
Cloak of Bravery,3,Abjuration,"Protection, Condition",Area of Effect,Action,Yes,No,1 hour,60 ft,"V,S",No,,New,Yes,"Yes,Charm,Leadership,Strength",No,Courage,No,Divine soul,"Eternal Citadel,Seducer,Vampire",No,Barbarian - Bloodrager,"Candlemaker,Diplomat,Psychologist",Sealed dragon,Yes,"This spell removes the frightened condition from each creature in range. In addition, a creature in range cannot be frightened."
Cloak of Shadow,1,Illusion,"Buff, Ability, Shadow",Self,Action,Yes,No,1 minute,Self,V,No,,"New,2018-02-11","Mirrors,Whispers,Shadowfell",Trickery,No,No,"Banshee,Nightstalker","Dread,Ethereal","Death,Emergent Mind,Ghost,Shadowcat,Vampire,Weaver of Lies",Yes,No,Diplomat,No,No,"You draw upon the endless night to cloak yourself in shadow, giving you advantage on Dexterity (Stealth) checks against creatures that rely on sight."
Clone,8,Necromancy,"Healing, Death",In range,1 hour,No,No,Indefinitely,Touch,"V, S, M (a diamond worth at least 1,000 gp and at least 1 cubic inch of flesh of the creature that is to be cloned, which the spell consumes, and a vessel worth at least 2,000 gp that has a sealable lid and is large enough to hold a Medium creature, such as a huge urn, coffin, mud-filled cyst in the ground, or crystal container filled with salt water)",No,,PHB,Portraiture,No,No,No,No,No,No,Yes,No,No,No,No,"This spell grows an inert duplicate of a living creature as a safeguard against death. This clone forms inside a sealed vessel and grows to full size and maturity after 120 days; you can also choose to have the clone be a younger version of the same creature. It remains inert and endures indefinitely, as long as its vessel remains undisturbed.<br>&nbsp; At any time after the clone matures, if the original creature dies, its soul transfers to the clone, provided that the soul is free and willing to return. The clone is physically identical to the original and has the same personality, memories, and abilities, but none of the original’s equipment. The original creature’s physical remains, if they still exist, become inert and can’t thereafter be restored to life, since the creature’s soul is elsewhere."
Cloud Mastery,0,Conjuration,"Utility, Air",In range,Action,Yes,No,1 minute,30 ft,"V, S",Yes,,"New,2017-12-29",Yes,Celebration,Yes,No,No,Storm,No,Yes,No,No,No,Yes,"You create a cloud with up to a 5 feet radius, at any point within range. You can freely move the cloud at a speed of 30 feet by concentrating on it; when you stop concentrating, it drifts on the wind. When creating the cloud, you choose one of these options: <p>&nbsp; ♦ Misty Cloud. You direct the cloud to cover a small area on the ground, typically around an object or creature. The cloud’s area is lightly obscured.<br>&nbsp; ♦ Storm Cloud. While directly over a target you may use a bonus action to direct a lightning bolt to strike the target. The target may make a Dexterity saving throw, taking 1d6 lightning damage on a failed save, or no damage on a successful one.<br>&nbsp; ♦ Rainbow Cloud. The cloud emits anywhere up to five small, pretty rainbows. This is primarily designed to impress viewers.<p>Instead of creating a cloud, you can control existing masses of smoke, mist, or fog within range. Choose any of the following effects:<br>&nbsp; ♦ Shape a mass of smoke, mist, or fog into any shape you want, although you will be incapable of fine detail unless you are proficient in sculpturing. You can only affect a cloud of smoke up to Large size.<br>&nbsp; ♦ Move smoke/fog with a speed of 10 ft. This allows you to move a 5 ft cube of smoke, enough to create a safe path through a poison gas cloud.<p><b>At Higher Levels</b><br>At 5th level, your created clouds can be up to all types of clouds simultaneously. At 11th level, the lightning damage is increased by 1d6. At 17th level, you can double the radius of your created clouds (10 ft).<p><b>Continuous effect</b><br>If you know this cantrip, you are very accustomed to this spell, gaining the following benefits:<br>&nbsp; ♦ If you can cast level 1 spells, you may add the <i> Fog Cloud</i> spell to your spells known.<br>&nbsp; ♦ You have advantage on all saves against fogs and clouds."
Cloud of Daggers,2,Conjuration,"Damage, Slashing",Cube 5 ft,Action,Yes,No,1 minute,60 ft,"V, S, M (a sliver of glass)",Yes,,PHB,"Awakened art,Mirrors",No,No,No,No,"Autumnal,Relicker,Wild",Dispater,Yes,No,No,No,No,"You fill the air with spinning daggers in a cube 5 feet on each side, centered on a point you choose within range. A creature takes 4d4 slashing damage when it enters the spell’s area for the first time on a turn or starts its turn there.<br>&nbsp; <b>At Higher Levels.</b> When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 2d4 for each slot level above 2nd."
Clue,1,Divination,Investigate,In range,Action,Yes,Yes,10 minutes,30 ft,"V, S",No,,"New,2018-10-18",Yes,No,No,No,No,No,No,Yes,No,Archaeologist,_Ritual_,No,"When you cast this spell, all footprints and fingerprints within range become highlighted and glow faintly for the duration. At the time of casting, choose any period of time up to the last 10 days to the present; only footprints and fingerprints left within that time will be highlighted. Each creature whose footprints or fingerprints are detected by the spell is assigned a unique color, but are not otherwise identified. Any creature that moves or touches objects in the area will also leave colorful footprints and fingerprints, which might reveal invisible creatures in the area."
Coldshatter,6,Evocation,"Attack, Cold",One creature,Action,No,No,Instantaneous,60 ft,"V, S, M (a cracked glass marble)",No,,"New,2018-01-21",No,Winter,Yes,No,No,"Draconic,Frozen heart,Wild",Levistus,Yes,No,No,No,No,"A shimmering white ray springs from your hand toward a target that you can see within range. The target can be a creature or an object. Make a ranged spell attack. On a success, the target takes 10d10 cold damage. If this damage reduces the target to 0 hit points, it is shatters into hundreds of tiny shards. A shattered creature and everything it is wearing and carrying, except magic items, are reduced to a pile of frozen pieces. The creature can be restored to life at that point only by means of a <i>resurrection, true resurrection</i>, or <i>wish</i> spell. This spell automatically shatters a Large or smaller nonmagical object. If the target is a Huge or larger object, this spell destroys a 10-foot-cube portion of it. A magic item is unaffected by this spell.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 7th level or higher, the damage increases by 3d6 for each slot level above 6th."
Coldsnap,0,Evocation,"Damage, Utility, Cold",In range,Action,No,No,Instantaneous,30 ft,"V, S",Yes,,"New,2020-04-15",No,Winter,Yes,No,No,"Frozen heart,Wishcrafter",Levistus,Yes,No,Cook,No,No,"You weave your frosty magics into a plethora of icy legerdemain. You create one of the following effects:<p>&nbsp; • You snuff out a candle, a torch, or a small campfire.<br>&nbsp; • You create an instantaneous, harmless effect such as a flurry of snowflakes, a shower of sleet, or a harmless spray of icy mist.<br>&nbsp; • You chill up to 1 cubic foot of nonliving material for 1 hour.<br>&nbsp; • You make frost appear on an object or a surface you touch for 1 minute.<br>&nbsp; • You freeze the water within a 5-foot cube, provided there are no creatures in it.<br>&nbsp; • You weave a nonmagical trinket or an illusory image of ice or snow that can fit in your hand that lasts for 1 minute.<br>&nbsp; • You can also target a creature, causing numbing frost to form around it. The target must make a Constitution saving throw. On a failed save, the target takes 1d4 cold damage, and it has disadvantage on the next weapon attack roll it makes before the end of its next turn.<p>If you cast this spell multiple times, you may have two of its non-instantaneous effects active at a time, and you may dismiss such an effect as an action.<p><b>At Higher Levels</b><br>At 5th level, you can cause two effects with the same casting. If you use both effects to damage a single creature, the target only gets one save. At 11th level, you can cause three effects with the same casting. At 17th level, the spell's range increases to 60 feet."
Color Spray,1,Illusion,"Disable, Blind",Cone 15 ft,Action,No,No,1 round,15 ft,"V, S, M (a pinch of powder or sand that is colored red, yellow, and blue)",Yes,,PHB,Colors,"Celebration,Chaos",No,Festivity,No,"Incantatrix,Relicker,Star touched,Wild",Fallen Exile,Yes,No,Candlemaker,Entropic,Yes,"A dazzling array of flashing, colored light springs from your hand. Roll 6d10; the total is how many hit points of creatures this spell can effect. Creatures in a 15-foot cone originating from you are affected in ascending order of their current hit points (ignoring unconscious creatures and creatures that can’t see).<br>&nbsp; Starting with the creature that has the lowest current hit points, each creature affected by this spell is blinded until the spell ends. Subtract each creature’s hit points from the total before moving on to the creature with the next lowest hit points. A creature’s hit points must be equal to or less than the remaining total for that creature to be affected.<br>&nbsp; <b>At Higher Levels.</b> When you cast this spell using a spell slot of 2nd level or higher, roll an additional 2d10 for each slot level above 1st."
Command,1,Enchantment,Charm,1 creature,Action,No,No,1 round,60 ft,V,Yes,,PHB,Grandeur,"Yes,Leadership,Order",No,"Yes,Conquest,Crown,Leadership,Supremacy",No,Divine soul,"Ancient Dragon,Cosmic Machine,Death,Dispater,Ghost,Great Old One,Hesperia,Keeper of Depths,Pharaoh,Storm Lord,Vampire",No,Barbarian - Bloodrager,"Cook,Psychologist",No,Sylph,"You speak a one-word command to a creature you can see within range. The target must succeed on a Wisdom saving throw or follow the command on its next turn. The spell has no effect if the target is undead, if it doesn’t understand your language, or if your command is directly harmful to it.<br>&nbsp; Some typical commands and their effects follow. You might issue a command other than one described here. If you do so, the DM determines how the target behaves. If the target can’t follow your command, the spell ends.<br>&nbsp; <b>Approach. </b>The target moves toward you by the shortest and most direct route, ending its turn if it moves within 5 feet of you.<br>&nbsp; <b>Drop. </b>The target drops whatever it is holding and then ends its turn.<br>&nbsp; <b>Flee. </b>The target spends its turn moving away from you by the fastest available means.<br>&nbsp; <b>Grovel. </b>The target falls prone and then ends its turn. <br>&nbsp; <b>Halt. </b>The target doesn’t move and takes no actions. A flying creature stays aloft, provided that it is able to do so. If it must move to stay aloft, it flies the minimum distance needed to remain in the air.<br>&nbsp; <b>At Higher Levels.</b> When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them."
Commune,5,Divination,Investigate,Self,1 minute,No,Yes,1 minute,Self,"V, S, M (incense and a vial of holy or unholy water)",No,,PHB,No,Yes,No,"Devotion,Tradition",No,Divine soul,No,No,No,No,No,No,"You contact your deity or a divine proxy and ask up to three questions that can be answered with a yes or no. You must ask your questions before the spell ends. You receive a correct answer for each question.<br>&nbsp; Divine beings aren’t necessarily omniscient, so you might receive “unclear” as an answer if a question pertains to information that lies beyond the deity’s knowledge. In a case where a one-word answer could be misleading or contrary to the deity’s interests, the DM might offer a short phrase as an answer instead.<br>&nbsp; If you cast the spell two or more times before finishing your next long rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer. The DM makes this roll in secret."
Commune with Civilization,5,Divination,"Investigate, Area",Self,1 minute,No,Yes,Instantaneous,Self,"V,S",No,,"New,2019-05-03",Yes,"Agriculture,Knowledge,Order",No,Lyan,No,No,No,Yes,No,Diplomat,No,No,"You briefly become one with civilization and gain knowledge of the surrounding territory. In a civilized area, the spell gives you knowledge of the area within 3 miles of you. The spell doesn’t function where there is no construction, such as in the wilderness. You instantly gain knowledge of up to three facts of your choice about any of the following subjects as they relate to the area:<br>&nbsp; ♦ road layouts and landmarks<br>&nbsp; ♦ prevalent goods, services, factions, or cultures<br>&nbsp; ♦ powerful celestials, fey, fiends, elementals, or undead<br>&nbsp; ♦ influence from other planes of existence<br>&nbsp; ♦ building types of your choice<br>For example, you could determine the fastest route to the city center, the popular local foods, and the location of any blacksmiths in the area."
Commune with Nature,5,Divination,"Investigate, Area",Self,1 minute,No,Yes,Instantaneous,Self,"V,S",No,,PHB,Purity,"Agriculture,Hunting,Nature,Survival","Yes,Land - Arctic,Land - Forest,Land - Swamp,Land - Underdark",Ancients,Yes,"Ashen,Autumnal,Blighted,Dune child","Ancient Dragon,Ancient Toad,Blackthorn Grove,Crone,Hive,Monstrosity,Oberon",No,No,"Cook,Forester",Lycanthropic,Yes,"You briefly become one with nature and gain knowledge of the surrounding territory. In the outdoors, the spell gives you knowledge of the land within 3 miles of you. In caves and other natural underground settings, the radius is limited to 300 feet. The spell doesn’t function where nature has been replaced by construction, such as in dungeons and towns.<p>You instantly gain knowledge of up to three facts of your choice about any of the following subjects as they relate to the area:<br>&nbsp; ♦ terrain and bodies of water.<br>&nbsp; ♦ prevalent plants, minerals, animals, or people.<br>&nbsp; ♦ powerful celestials, fey, fiends, elementals, or undead.<br>&nbsp; ♦ influence from other planes of existence.<br>&nbsp; ♦ buildings.<br>&nbsp; For example, you could determine the location of powerful undead in the area, the location of major sources of safe drinking water, and the location of any nearby towns."
Commune with the Sea,5,Divination,"Investigate, Area",Self,1 minute,No,Yes,Instantaneous,Self,"V, S",No,,"New,2018-01-21",Shanties,Ocean,"Yes,Land - Coast,Tides",No,Yes,Oceanic,"Dagon,Keeper of Depths",No,No,No,No,Nereid,"You briefly become one with the seas and gain knowledge of the surrounding seas. The spell gives you knowledge of the seas within 3 miles of you. You instantly gain knowledge of up to three facts of your choice about any of the following subjects as they relate to the area:<br>&nbsp; ♦ underwater terrain and characteristics of water (current, temperature, depth, etc.).<br>&nbsp; ♦ prevalent plants, minerals, animals, or people.<br>&nbsp; ♦ powerful celestials, fey, fiends, elementals, or undead.<br>&nbsp; ♦ influence from other planes of existence.<br>&nbsp; ♦ shipwrecks, flooded buildings and other unnatural features.<br>For example, you could determine the location of sharks in the area, the location of dangerous currents, and the location of any nearby shipwrecks."
Compelled Duel,1,Enchantment,Charm,1 creature,Bonus action,Yes,No,1 minute,30 ft,V,No,,PHB,No,"Strength,Vengeance",No,"Yes,Bastion,Crown",No,Stone,Levistus,No,No,Psychologist,No,No,"You attempt to compel a creature into a duel. One creature that you can see within range must make a Wisdom saving throw. On a failed save, the creature is drawn to you, compelled by your divine demand. For the duration, it has disadvantage on attack rolls against creatures other than you, and must make a Wisdom saving throw each time it attempts to move to a space that is more than 30 feet away from you; if it succeeds on this saving throw, this spell doesn’t restrict the target’s movement for that turn.<br>&nbsp; The spell ends if you attack any other creature, if you cast a spell that targets a hostile creature other than the target, if a creature friendly to you damages the target or casts a harmful spell on it, or if you end your turn more than 30 feet away from the target."
Comprehend Languages,1,Divination,Communicate,Self,Action,No,No,1 hour,Self,"V, S, M (a pinch of soot and salt)",No,,PHB,Yes,"Knowledge,Balanced scale of Abadar",No,Festivity,No,Yes,Yes,Yes,No,"Archaeologist,Diplomat",Yes,No,"For the duration, you understand the literal meaning of any spoken language that you hear. You also understand any written language that you see, but you must be touching the surface on which the words are written. It takes about 1 minute to read one page of text.<br>&nbsp; This spell doesn’t decode secret messages in a text or a glyph, such as an arcane sigil, that isn’t part of a written language."
Compulsion,4,Enchantment,Charm,In range,Action,Yes,No,1 minute,30 ft,"V,S",No,,PHB,Yes,"Charm,Leadership",No,Leadership,No,"Aberrant,Ethereal,Pandemonic,Relicker","Emergent Mind,Ghost,Hesperia,Seducer,Vampire",No,No,Psychologist,"Chosen,Sealed dragon",Yes,"Creatures of your choice that you can see within range and that can hear you must make a Wisdom saving throw. A target automatically succeeds on this saving throw if it can’t be charmed. On a failed save, a target is affected by this spell. Until the spell ends, you can use a bonus action on each of your turns to designate a direction that is horizontal to you. Each affected target must use as much of its movement as possible to move in that direction on its next turn. It can take its action before it moves. After moving in this way, it can make another Wisdom saving to try to end the effect.<br>&nbsp; A target isn’t compelled to move into an obviously deadly hazard, such as a fire or pit, but it will provoke opportunity attacks to move in the designated direction."
Cone of Cold,1,Evocation,"Damage, Cold",Cone 15 ft,Action,No,No,Instantaneous,Self,"V, S, M (a small crystal or glass cone)",Yes,,PHB,No,Winter,Yes,No,No,"Draconic,Frozen heart",Levistus,Yes,No,No,No,No,"A blast of pure elemental cold emerges out from your hands. Each creature in a 15-foot cone failing a Constitution saving throw takes 3d6 cold damage and has its speed reduced by 10 feet until the end of its next turn; a successful save reduces damage to half and negates the speed penalty. A creature killed by this spell becomes a frozen statue until it thaws.<br>&nbsp; <b>At Higher Levels.</b> When you cast this spell using a spell slot of 2nd level or higher, the size of the cone doubles (to max 60 ft) and damage increases by one die for each slot level above 1st. Casting the spell as a 5th level spell or above, the speed reduction is 20 feet and the die size is increased to d8. At 8th level, the speed reduction is 30 feet and the die size is increase to d10."
Confusion,4,Enchantment,Charm,Radius 10 ft,Action,Yes,No,1 minute,90 ft,"V, S, M (three nut shells)",Yes,,PHB,Yes,"Chaos,Trickery",Yes,No,No,"Aberrant,Blighted,Dread,Fiendish,Pandemonic,Time thief,Wild","Ancient Toad,Archfey,Fiend,Ghost,Great Old One,Hive",Yes,Barbarian - Fey Bloodrager,No,"Beyond,Entropic","Yes,Sidhe","This spell assaults and twists creatures' minds, spawning delusions and provoking uncontrolled action. Each creature in a 10-foot-radius sphere centered on a point you choose within range must succeed on a Wisdom saving throw when you cast this spell or be affected by it.<br>&nbsp; An affected target can’t take reactions and must roll a d10 at the start of each of its turns to determine its behavior for that turn.<br><table><tr class=”header”><td>d10</td><td>Behavior</td></tr><tr><td>1</td><td>The creature uses all its movement to move in a random direction. To determine the direction, roll a d8 and assign a direction to each die face. The creature doesn’t take an action this turn.</td></tr><tr><td>2-6</td><td> The creature doesn’t move or take actions this turn.</td></tr><tr><td>7-8 </td><td>The creature uses its action to make a melee attack against a randomly determined creature within its reach. If there is no creature within its reach, the creature does nothing this turn.</td></tr><tr><td>9-10 </td><td>The creature can act and move normally.</td></tr></table><br>&nbsp; At the end of each of its turns, an affected target can make a Wisdom saving throw. If it succeeds, this effect ends for that target.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 5th level or higher, the radius of the sphere increases by 5 feet for each slot level above 4th."
Conjure Animals,3,Conjuration,"Summon, Beast",In range,Action,Yes,No,1 hour,60 ft,"V,S",Yes,,PHB,"Awakened art,Beasts,Tales","Agriculture,Nature","Yes,Shepherd",Blood,Yes,"Arachnid,Oceanic,Wishcrafter","Ancient Toad,Crone,Hesperia,Hive,Oberon,Shadowcat",No,No,Forester,Lycanthropic,No,"You summon fey spirits that take the form of beasts and appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears:<br>&nbsp; • One beast of challenge rating 2 or lower<br>&nbsp; • Two beasts of challenge rating 1 or lower<br>&nbsp; • Four beasts of challenge rating 1/2 or lower<br>&nbsp; • Eight beasts of challenge rating 1/4 or lower<br>&nbsp; Each beast is also considered fey, and it disappears when it drops to 0 hit points or when the spell ends.<br>&nbsp; The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group, which has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don’t issue any commands to them, they defend themselves from hostile creatures, but otherwise take no actions.<br>&nbsp; The DM has the creatures’ statistics. <br>&nbsp; <b>At Higher Levels.</b> When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear: twice as many with a 5th-level slot, three times as many with a 7th-level slot, and four times as many with a 9th-level slot."
Conjure Barrage,3,Conjuration,"Damage, Weapon",Cone 60 ft,Action,No,No,Instantaneous,60 ft,"V, S, M (one piece of ammunition or a thrown weapon)",No,,PHB,No,War,No,No,Yes,No,No,No,No,Smith,Entropic,No,"You throw a nonmagical weapon or fire a piece of nonmagical ammunition into the air to create a cone of identical weapons that shoot forward and then disappear. Each creature in a 60-foot cone must succeed on a Dexterity saving throw. A creature takes 3d8 damage on a failed save, or half as much damage on a successful one. The damage type is the same as that of the weapon or ammunition used as a component."
Conjure Celestial,7,Conjuration,"Summon, Celestial",In range,1 minute,Yes,No,1 hour,90 ft,"V,S",Yes,,PHB,"Awakened art,Faith,Tales","Arcana,Celebration,Charm,Desert,Fate,Forge,Leadership,Life,Light,Nature,Protection,Repose,Strength,Survival,Tempest,Time,Vengeance,War,Dwarven rune,Balanced scale of Abadar",No,Waves,No,Divine soul,Fallen Exile,No,No,No,No,No,"You summon a celestial of challenge rating 4 or lower, which appears in an unoccupied space that you can see within range. The celestial disappears when it drops to 0 hit points or when the spell ends.<br>&nbsp; The celestial is friendly to you and your companions for the duration. Roll initiative for the celestial, which has its own turns. It obeys any verbal commands that you issue to it (no action required by you), as long as they don’t violate its alignment. If you don’t issue any commands to the celestial, it defends itself from hostile creatures but otherwise takes no actions.<br>&nbsp; The DM has the celestial’s statistics. <br>&nbsp; <b>At Higher Levels.</b> When you cast this spell using a 9th-level spell slot, you summon a celestial of challenge rating 5 or lower."
Conjure Cloth,0,Conjuration,Creation,One piece of cloth,Action,No,No,1 hour,Touch,"V, S",No,,"New,2020-02-09",Yes,Celebration,No,No,No,"Relicker,Wishcrafter",Seducer,Yes,No,No,No,No,"This magic conjures a simple piece of cloth, up to one foot square per level of the caster, usable as a scarf or hanky. It can be any color, but with no patterns. If it is harmed in any way, such as puncturing it with a needle, it vanishes without a trace. This also happens at the end of duration or on your mental command."
Conjure Elemental,5,Conjuration,"Summon, Element",In range,1 minute,Yes,No,1 hour,90 ft,"V, S, M (burning incense for air, soft clay for earth, sulfur and phosphorus for fire, or water and sand for water)",Yes,,PHB,"Awakened art,Tales",No,Yes,No,No,"Ashen,Oceanic,Phoenix,Stone,Storm,Wishcrafter",No,Yes,No,Candlemaker,No,No,"You call forth an elemental servant. Choose an area of air, earth, fire, or water that fills a 10-foot cube within range. An elemental of challenge rating 5 or lower appropriate to the area you chose appears in an unoccupied space within 10 feet of it. For example, a fire elemental emerges from a bonfire, and an earth elemental rises up from the ground. The elemental disappears when it drops to 0 hit points or when the spell ends.<br>&nbsp; The elemental is friendly to you and your companions for the duration. Roll initiative for the elemental, which has its own turns. It obeys any verbal commands that you issue to it (no action required by you). If you don’t issue any commands to the elemental, it defends itself from hostile creatures but otherwise takes no actions.<br>&nbsp; If your concentration is broken, the elemental doesn’t disappear. Instead, you lose control of the elemental, it becomes hostile toward you and your companions, and it might attack. An uncontrolled elemental can’t be dismissed by you, and it disappears 1 hour after you summoned it.<br>&nbsp; The DM has the elemental’s statistics. <br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 6th level or higher, the challenge rating increases by 1 for each slot level above 5th."
